sample_id,service_label,baseline_pred,baseline_score,emotion_minor,emotion_major,text,manual_relabel_reason,v2_pred,v2_score
valid-005483,HAPPY,HAPPY,0.3753561973571777,만족스러운,기쁨,모임에서 단풍 구경을 하러 가기로 했는데 내가 인솔자가 됐어. 응 다들 내가 해야 된다고 해서들 기분 좋아.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3556287586688995
valid-004890,HAPPY,HAPPY,0.3699909746646881,감사하는,기쁨,부모님이 뒷받침해주신 덕분에 내가 가고 싶은 대학에 갈 수 있을 것 같아. 그래서 너무 감사해.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3509029746055603
valid-002457,HAPPY,HAPPY,0.3742713630199432,기쁨,기쁨,오빠가 독립해서 내가 이젠 오빠가 쓰던 넓은 방을 쓰기로 했어. 방이 넓어져서 기뻐. 응. 내 방은 책상만으로도 꽉 차서 불만이었어. 내 물건들을 두는 곳으로 쓸 거야.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.350881963968277
valid-003925,HAPPY,HAPPY,0.3719415962696075,자신하는,기쁨,은퇴 후 재취업을 하려고 면접을 보러 갔는데 내 나이처럼 안 보인다고 말하더라. 어려 보인다고 하니 기분이 정말 좋더라. 내가 매일 달리기를 하고 있는데 운동을 계속해야겠어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3455124199390411
valid-002983,HAPPY,HAPPY,0.3757690787315368,신이 난,기쁨,노년을 보내려고 사 놓은 땅에 고속도로가 뚫리게 되어 큰돈을 벌게 되어 너무 신나. 은퇴 후 귀농하려고 별생각 없이 사 놓은 땅이 효자 노릇을 하게 됐어. 너무 신나. 번 돈으로 일부는 자식들에게 물려주고 귀농할 다른 땅도 보러 다녀야겠어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3614886403083801
valid-006160,HAPPY,HAPPY,0.3685550689697265,감사하는,기쁨,내가 사둔 땅값이 올라 기뻐 이제 나도 남들에게 많이 베풀고 살아야겠다는 생각이 들어 많이 가진 사람이 나누기가 쉽지 않은데 내 주위에는 그런 사람이 많아서 좋았어! 이제는 나도 어려운 사람에게 나누고 봉사하면서 살아야겠어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3519813120365143
valid-004443,HAPPY,HAPPY,0.3700166046619415,신이 난,기쁨,요즘 새로운 사람을 만나는 게 너무 신나. 이번에 헬스장에서 새로운 친구를 만났는데 성격도 잘 맞고 좋더라고.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3558679521083832
valid-003654,HAPPY,HAPPY,0.3689661026000976,느긋,기쁨,목 디스크로 통증이 지속하여 병원을 찾았는데 경험 많은 전문 의사에게 치료를 받게 되어서 다행이야. 목 디스크로 어깨와 팔이 아파도 수술은 꺼려졌는데 경험이 많다고 하니 느긋하게 마음먹으려고 해. 빨리 치료받아서 건강한 몸으로 가족들과 여행도 다니고 싶어.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.35185506939888
valid-006395,HAPPY,HAPPY,0.3743897378444671,느긋,기쁨,십여 년 전에 스톡옵션으로 받았던 주식이 많이 올라서 기분이 좋아. 주식에 달리 투자를 하는 것도 아니고 관심 없이 내버려 뒀는데 그냥 두길 잘했나 봐. 은퇴 이후에 쓸 자금으로 좀 더 내버려 둬야 할 것 같아. 조금은 느긋하게 마음의 여유를 가질 수 있게 되어 다행이야.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.3545193970203399
valid-005620,HAPPY,HAPPY,0.3771896958351135,기쁨,기쁨,아들이 선물을 사 왔어 너무 기뻐. 오늘은 저녁 식사로 맛있는 음식을 해줘야겠어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3600955307483673
