sample_id,candidate_bucket,service_label,approved_label,emotion_major,emotion_minor,predicted_label,predicted_score,joy_signal_count,calm_signal_count,review_note,text
train-037647,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.380656361579895,0,0,,과외 선생님이 아주 잘 지도해줘서 서울권에 갈 것 같아. 선생님 말 듣고 열심히 학업하려고.
train-009668,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37923675775527954,1,0,,오늘 체지방 검사를 했는데 정상 범주에 속하더라고. 그것도 정상 범주야. 은근히 기분 좋아.
train-009663,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.378790020942688,0,0,,몸무게가 정상이네. 다행이야. 소식하고 있어.
train-029574,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3787864148616791,0,0,,아내와 여행을 가기로 했어. 바닷가를 다녀올까 생각중이야.
train-012093,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37850749492645264,0,0,,본부장님께서 나에게 금고 키를 맡기셨어. 아마도 나를 신뢰하고 있나 봐. 고마워. 본부장님께 잘해드려야지.
train-009324,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37812358140945435,0,0,,정리해고 끝났어. 나는 대상에 안 들어갔어. 그러게. 다행이야.
train-033665,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3779746890068054,0,0,,거래처 수정 요구에 난감했는데 팀장님께서 해결책을 주셨어. 한시름 놓았어. 팀장님은 업무적인 부분에서는 정말 완벽하신 것 같아.
train-003945,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3779597580432892,0,0,,부장님께 보고서 작성에 관한 지적을 들었어. 하지만 부장님은 보고서 작성을 나보다 더 잘 알고 계신 분이야. 그렇지. 그래서 속상하기도 하지만 좋은 기회라고 생각해.
train-006145,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37793007493019104,0,0,,우리 부서원들이 주인의식을 가지고 일을 해줘서 고마워. 그런 것 같아. 나는 행운아인 것 같아.
train-035395,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3779173493385315,0,2,,재산 관리를 전문가에게 맡기니깐 마음이 편해졌어. 관리를 전문가에게 맡겼으니 다른 걸 할 수 있을 거 같아. 일을 하느라 못한 여행을 가볼까 해.
train-024334,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3778839111328125,0,0,,내 수술비 때문에 팔았던 집을 자식들의 도움으로 다시 찾게 되었어. 아이들이 선뜻 도와줘서 정말 고마웠어. 고마움을 잊지 않고 열심히 진료해야지.
train-001104,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37787312269210815,1,0,,팀장님이 출근 첫날 먼저 친근하게 대해주셔서 편했어. 다른 직원분들도 친절한 것 같아서 좋아. 시설도 쾌적해서 더욱 좋은 것 같아.
train-030275,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37778082489967346,0,1,,진로가 결정돼서 안도감이 생겼어. 의사가 되기로 결심했어.
train-032171,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3777164816856384,0,1,,아내와 아이들이 잘 할 수 있을지 모르겠네. 아이들 유학 문제로 입학 승인을 받으러 시카고로 갔는데 잘 도착했다고 전화 왔었거든. 다행히 시카고에 큰누나가 살고 있어서 안심은 돼.
train-030474,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37757229804992676,0,0,,담임 선생님이 믿을 만한 분이셔서 다행이야. 학교폭력을 당한다고 말씀드렸더니 도와 주겠다고 하셨어.
train-028451,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37749388813972473,0,0,,아내와 아들한테 신뢰감 있는 가장이 되고 싶어. 어떻게 하는 게 신뢰감을 주는 최선의 방법일까? 항상 말로 많이 표현하려고 노력하고 있어.
train-035385,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37732699513435364,1,0,,다시 취업해서 안정적인 수입이 생겼어. 기뻐. 수입을 모아서 뭘 해야 할지 고민이야. 친구들하고 해외여행을 가야겠어.
train-001459,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37729179859161377,1,0,,이번에 본 면접에서 합격 통보를 받아서 너무 다행이야. 경쟁자가 많아 백 퍼센트 떨어질 줄 알았는데 합격이 되어서 더욱 좋아. 가족들과 함께 파티해야지.
train-015187,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3771737813949585,1,0,,대출을 받아야 하는데 역시 제일 금융권이 안전한 거 같아. 그동안 제이 금융권에서 대출을 받았을 땐 이율도 높고 불안했어. 제일 금융권을 신뢰할 만 해. 대출이 나와서 너무 기뻐.
train-015080,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3771476149559021,2,0,,괴롭히던 아이들에게 말을 걸었는데 괜찮았어. 그래서 기뻐. 이제 계속 말 걸고 친해지면 더 관계가 좋아지겠지? 계속해서 말을 걸면서 친해지는 것도 나쁘지 않을 거 같아.
train-015085,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37712541222572327,1,0,,학교에서 따돌림을 당하였는데 한 친구가 다가와 줘서 기뻐. 어떻게 해야 친해지기 쉬울까? 이 친구와 많이 얘기하면서 친해지는 것이 좋은 방법인 거 같아.
train-009719,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3770470917224884,0,0,,계획한 대로 은퇴 준비가 되어 가고 있어. 회사에서도 정년까지는 일할 수 있고 아이들도 취업했으니 이젠 맘이 놓여.
train-011688,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3769817352294922,1,2,,드디어 내가 원하는 직장으로 이직해서 너무 기뻐. 그동안 하고 싶었던 직무를 하게 되어서 마음이 편해.
