sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,manual_relabel_reason
train-027635,train,청소년,남성,학교폭력/따돌림,해당없음,분노,악의적인,ANGRY,친구들한테 괴롭힘을 당할까 걱정이 커. 친구들이 점점 나에게 시비를 걸고 있어. 다음부터는 어떤 것도 빌려주지 않을 거야.,Pro_00306,Pro_00306_00052,E15,S03_D02,
train-011858,train,청년,남성,"진로,취업,직장",해당없음,분노,성가신,ANGRY,정말 회사 취업 준비하는 것 너무 짜증 나. 자기소개서 열심히 써서 제출해도 매번 탈락이고 면접 볼 기회도 없는 게 제일 문제야. 일단 자기소개서를 회사 합격한 친구한테 보여주면서 첨삭을 받아.,Pro_03790,Pro_03790_00023,E19,S06_D02,
train-043942,train,노년,남성,대인관계,만성질환 무,분노,짜증내는,ANGRY,나의 틱장애 때문에 아내가 집을 나가버렸어. 이젠 나 자신이 지긋지긋해. 아내가 없으니 틱까지 있는 나는 혼자선 아무것도 할 수 없어. 자식들에게 도움을 받고 틱 완치를 위해서 병원을 열심히 다닐 거야.,Pro_09784,Pro_09784_00011,E13,S04_D02,
train-008717,train,청년,여성,대인관계,해당없음,기쁨,신뢰하는,CALM,나는 내 친구를 정말 좋아해. 남들이 날 욕하고 있었는데 이 친구만이 날 옹호해 줬어. 난 이 친구와 평생을 함께할 생각이야.,Pro_05153,Pro_05153_00006,E62,S04_D02,
train-037584,train,청소년,여성,학교폭력/따돌림,해당없음,기쁨,흥분,HAPPY,교실에서 왕따 당하는 친구가 있어. 어떻게 같은 친구끼리 그럴 수가 있지? 이건 말도 안되는 일이야. 내일 선생님께 이야기 드려야겠어.,Pro_01916,Pro_01916_00002,E65,S03_D02,
train-051122,train,청소년,여성,학업 및 진로,해당없음,불안,회의적인,ANXIOUS,내 성적보다 친구 성적이 높아 친구한테 안 좋은 감정이 생기려 해. 공부하고 싶지도 않아. 공부하는 것도 힘든데 친구한테 이런 감정이 들어서 무기력해졌어. 친구한테 내 마음을 솔직하게 얘기하고 공부에 대해 도움을 요청해야겠어.,Pro_01767,Pro_01767_00015,E36,S02_D02,
train-004542,train,중년,여성,"재정,은퇴,노후준비",해당없음,기쁨,흥분,HAPPY,전원생활용으로 사놓은 땅이 가격이 많이 올라서 너무 좋아. 어떻게 처리할지 고민이야. 도저히 나 스스로 선택을 못 하겠어. 가족들과 상의해서 결정하는 게 안전할 것 같아.,Pro_08756,Pro_08756_00014,E65,S08_D02,
train-035385,train,노년,여성,재정,만성질환 무,기쁨,편안한,CALM,다시 취업해서 안정적인 수입이 생겼어. 기뻐. 수입을 모아서 뭘 해야 할지 고민이야. 친구들하고 해외여행을 가야겠어.,Pro_12474,Pro_12474_00004,E63,S13_D02,
train-026333,train,청년,여성,대인관계,해당없음,분노,좌절한,SAD,정말 친하다고 생각한 친구였는데 그 친구가 알고 보니 다른 사람한테 내 험담을 했더라고. 좀 배신감도 들고 왜 그랬을까 생각이 자꾸 머리에서 지워지지 않네. 내가 뭘 잘못한 건지 싶어서 좌절했어.,Pro_05103,Pro_05103_00037,E12,S04_D02,
train-021883,train,청소년,여성,학교폭력/따돌림,해당없음,기쁨,안도,CALM,나를 괴롭히던 친구들이 모두 전학을 가게 되어 너무 다행이야. 왕따를 당하느라 학교 가기가 너무 싫었는데 지금은 매일 학교 가는 게 즐거워. 이제 공부에도 집중할 수 있고 친구들과도 즐겁게 지낼 수 있을 거야.,Pro_01918,Pro_01918_00002,E67,S03_D02,
