sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,tired_seed_candidate,tired_seed_candidate_reason,tired_seed_manual_keep,tired_seed_manual_note,service_label_original,tired_seed_version,tired_seed_applied
train-010910,train,청년,여성,"연애,결혼,출산",해당없음,상처,괴로워하는,SAD,남자 친구가 심한 감기에 걸려서 매우 아파해. 안쓰러워 죽겠어. 일단은 약으로 버텨 본다고. 코로나 때문에 병원에 가기도 쉽지 않으니까.,Pro_05259,Pro_05259_00013,E48,S05_D02,False,auto-v2-missing-signal,False,,SAD,auto_v2,False
train-028654,train,청년,여성,대인관계,해당없음,기쁨,안도,CALM,내 친구들은 고민을 잘 들어줘. 서로 이해와 공감이 잘 되는 친구들이야.,Pro_05158,Pro_05158_00012,E67,S04_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-029684,train,중년,여성,"대인관계(부부, 자녀)",해당없음,불안,취약한,ANXIOUS,중년이 되니 자녀들과 서먹해서 마음이 안 좋아. 용돈을 더 줘 볼까?,Pro_08604,Pro_08604_00024,E33,S07_D02,False,auto-v2-missing-signal,False,,ANXIOUS,auto_v2,False
train-033592,train,청년,여성,대인관계,해당없음,기쁨,안도,CALM,친한 친구의 메신저 사진을 보니 결혼하는 것 같던데 아무런 연락이 없더라고. 나만 친하다고 생각했는지 앞으로 난 저 친구를 어떻게 봐야 하는지 고민이 많았어. 그런데 어제 그 친구가 우리 집 앞에 찾아와 생일선물을 주더라고. 어제가 내 생일이었는데 선물이랑 같이 결혼 소식을 전하고 싶었대. 나는 이 친구를 진짜 소중하게 생각하고 있었거든. 이제는 마음이 편해졌어.,Pro_05158,Pro_05158_00045,E67,S04_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-006145,train,중년,남성,"직장, 업무 스트레스",해당없음,기쁨,신뢰하는,CALM,우리 부서원들이 주인의식을 가지고 일을 해줘서 고마워. 그런 것 같아. 나는 행운아인 것 같아.,Pro_07433,Pro_07433_00006,E62,S10_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-010112,train,청년,남성,"진로,취업,직장",해당없음,상처,희생된,TIRED,오늘도 야근했어. 신입이 일 처리가 늦어서 하게 됐지. 신입 때문에 자주 야근하게 돼서 너무 힘들어.,Pro_03817,Pro_03817_00018,E46,S06_D02,True,auto-v2-context-plus-fatigue,True,auto-keep-physical-fatigue-seed,SAD,auto_v2,True
train-037149,train,청소년,남성,가족관계,해당없음,기쁨,편안한,CALM,정말 스트레스를 많이 받을 때 제일 도움이 많이 되는건 부모님인 것 같아. 내가 수능이 코앞으로 다가와서 스트레스를 받아하니깐 부모님이 맛있는 음식과 간식을 해주셨어.,Pro_00114,Pro_00114_00007,E63,S01_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-045645,train,중년,여성,"재정,은퇴,노후준비",해당없음,불안,두려운,ANXIOUS,요즘 힘들어서 가게 손님에게 쌀쌀맞게 굴었더니 단골이 다 사라졌어. 가게 소득이 감소했을 뿐만 아니라 단골이 없어져서 많이 긴장되고 있어. 행동의 문제인 것 같아서 친절하게 상대방을 대하는 연습을 많이 하려고 해.,Pro_08722,Pro_08722_00017,E31,S08_D02,False,auto-v2-missing-signal,False,,ANXIOUS,auto_v2,False
train-047184,train,청소년,여성,가족관계,해당없음,슬픔,슬픔,SAD,엄마가 새아빠와 재혼을 하면서 극도의 불안장애가 생겨서 자꾸 눈물이 나. 새아빠가 잘해주시기는 하는데 친아빠가 생각나서 슬퍼. 나가서 친구들과 이야기를 하고 와야겠어.,Pro_01631,Pro_01631_00051,E20,S01_D02,False,auto-v2-missing-signal,False,,SAD,auto_v2,False
train-023898,train,중년,여성,"직장, 업무 스트레스",해당없음,불안,조심스러운,TIRED,기한 안에 자료를 제출하지 못할까 봐 불안해서 야근을 했어. 야근을 했더니 피곤해져서 더 스트레스를 받는 것 같아. 오늘은 퇴근하고 취미활동을 하며 기분을 풀어야겠어.,Pro_08969,Pro_08969_00002,E38,S10_D02,True,auto-v2-context-plus-fatigue,True,auto-keep-physical-fatigue-seed,ANXIOUS,auto_v2,True
train-000778,train,청년,남성,대인관계,해당없음,분노,구역질 나는,ANGRY,동료가 뒤에서 내 욕을 하고 다녔대. 늘 웃으면서 예의 있게 나를 대하던 친구라 믿어지지 않아. 사람이 그렇게까지 두 얼굴일 수 있다니 소름 끼치고 역겨울 지경이야. 솔직히 표정 관리가 안 될 것 같아. 그냥 이렇게 멀어질 수밖에 없겠어.,Pro_03548,Pro_03548_00018,E17,S04_D02,False,auto-v2-missing-signal,False,,ANGRY,auto_v2,False
train-007043,train,청년,남성,"진로,취업,직장",해당없음,기쁨,편안한,CALM,회사 근처로 집을 옮겼더니 출퇴근 시간도 짧아지고 덕분에 너무 편해졌어. 덕분에 업무 효율도 좋아져서 요즘 회사에서도 다들 얼굴이 전보다 더 밝아졌다고 하네.,Pro_03834,Pro_03834_00035,E63,S06_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-021888,train,청소년,여성,학교폭력/따돌림,해당없음,기쁨,안도,CALM,따돌림 때문에 힘들었는데 새로 사귄 친구들은 더 이상 나의 말을 무시하지 않아서 기뻐. 항상 먼저 말을 걸어줘서 학교 가는 게 즐거워. 점심시간에 같이 밥을 먹자고 이야기해봐야겠어.,Pro_01918,Pro_01918_00011,E67,S03_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-003840,train,중년,여성,"직장, 업무 스트레스",해당없음,불안,스트레스 받는,TIRED,매일 야근이라 너무 피곤해. 일이 많으니 마음대로 퇴근도 못 해. 건강을 신경 쓸 틈이 없네.,Pro_08963,Pro_08963_00017,E32,S10_D02,True,auto-v2-context-plus-fatigue,True,auto-keep-physical-fatigue-seed,ANXIOUS,auto_v2,True
train-033530,train,중년,여성,건강,해당없음,당황,혼란스러운,ANXIOUS,그동안 살면서 큰 병치레를 하지 않았거든. 근데 최근에 건강검진을 받았더니 좀 몸이 이상하다고 더 검사해보자고 하네. 집안에 유전병에 걸린 사람은 없었는데 내 건강이 심각할 수도 있다고 하니까 걱정 돼. 전혀 예상 못 했던 일이라서 더 그래.,Pro_08870,Pro_08870_00009,E59,S09_D02,False,auto-v2-missing-signal,False,,ANXIOUS,auto_v2,False
train-031876,train,중년,남성,"대인관계(부부, 자녀)",해당없음,기쁨,편안한,CALM,나는 잘난 게 없지만 내가 자랑할 게 하나 있어. 나보다 나를 더 알고 사랑해주는 내 아내가 바로 내 자랑이야. 그래. 아내에게 잘 해야지. 가끔은 마음먹은 만큼 잘 안돼.,Pro_07074,Pro_07074_00004,E63,S07_D02,False,auto-v2-missing-signal,False,,CALM,auto_v2,False
train-004881,train,청년,여성,대인관계,해당없음,분노,노여워하는,ANGRY,친구 때문에 너무 화가 나! 친구가 자꾸 내 약속을 어겨. 그 애랑은 다시는 약속을 잡고 싶지 않아. 맞아. 그 친구에게 더는 기대를 하지 않게 됐어.,Pro_05109,Pro_05109_00058,E18,S04_D02,False,auto-v2-missing-signal,False,,ANGRY,auto_v2,False
train-034759,train,노년,남성,대인관계,만성질환 무,불안,스트레스 받는,ANXIOUS,친구들끼리 술자리에 모이면 항상 싸움이 나서 스트레스받아. 응. 매번 그러지 말라고 하는데 술만 먹으면 애들이 점점 공격적으로 되더라고 말이야. 술을 마시지 않는 자리에서 친구들과 진지한 대화를 해보려고 해.,Pro_09803,Pro_09803_00041,E32,S04_D02,False,auto-v2-missing-signal,False,,ANXIOUS,auto_v2,False
