sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code
train-009793,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,분노,ANGRY,나 남편 때문에 너무 화가 나. 도대체 밥을 먹고 설거지를 한 적이 없어. 왜 맨날 나만 해야 해?,Pro_08581,Pro_08581_00007,E10,S07_D02
train-043411,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,짜증내는,ANGRY,남편이 바람을 피워서 나한테 이혼하자고 했어. 근데 혼자 남는 게 무서워서 이혼하기 싫은 내가 한심하고 지긋지긋해. 나도 모르겠어. 남편은 꼴도 보기 싫은데 이혼은 무서워.,Pro_08584,Pro_08584_00013,E13,S07_D02
train-029695,train,중년,남성,건강,해당없음,분노,분노,ANGRY,건강에 분노하고 있어. 마흔인데 암이래.,Pro_07261,Pro_07261_00008,E10,S09_D02
train-039645,train,노년,남성,"건강,죽음",만성질환 무,분노,노여워하는,ANGRY,여러 복 중에 재물 복보다도 더 중요한 게 처복이라는 말이 있나 보데. 늙어가면서 몸뚱이도 쇠약해져서 건강도 나쁘고 게다가 정신까지 오락가락하면 그건 요즘 요양사 가지고는 힘들지. 주변이 아니라 바로 내 몸뚱아리가 자꾸 부실해지고 기억력도 깜빡깜빡하니 걱정되어서 하는 말이지.,Pro_10629,Pro_10629_00035,E18,S11_D02
train-004778,train,중년,남성,건강,해당없음,당황,한심한,ANGRY,꾸준히 몸 관리를 위해 헬스클럽에 다닌 지 삼 개월이나 지났네. 조금씩 변화가 있는 거 같아. 몸무게도 빠졌었지. 요즘 다시 밤에 야식과 술을 많이 먹어서 그런지 다시 체중이 늘어서 나 자신이 한심해.,Pro_07309,Pro_07309_00006,E58,S09_D02
train-006694,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,분노,ANGRY,어떻게 은행들이 불완전 판매를 해서 손해를 보게 만들어? 내 노후는 어떻게 하라고. 난리가 나니까 이제야 대책이라고 만든다네. 이제부터는 직접 잘 알아보고 투자해야겠어. 그래서 너무 화가 나.,Pro_08701,Pro_08701_00012,E10,S08_D02
train-043681,train,청소년,남성,가족관계,해당없음,당황,한심한,ANGRY,최근에 놀다가 팔을 다쳤는데 어머니께서 걱정이 크셔서 너무 죄송한 마음이 들어. 어머니가 평소에 나에게 엄청나게 잘해주시는데 나 또한 어머니께 잘해드리고 싶어서 노력 중이야. 엄마께 진심으로 감사하다고 말씀드려야겠어.,Pro_00109,Pro_00109_00032,E58,S01_D02
train-003117,train,중년,여성,"재정,은퇴,노후준비",해당없음,상처,질투하는,ANGRY,곧 있으면 남편이 은퇴하는데 옆집과 비교가 돼서 질투 나고 속상해. 우리는 풍족하게 살지 못했어. 그런데 옆집 남편은 부모한테 물려받은 유산도 많고 또 창업한대. 나보다 더 잘 된 옆집을 보니까 솔직히 배 아프지만 나도 현실은 생각하고 있어. 재정적으로 힘들긴 하지만 남편이랑 노후준비 문제를 이야기해볼 거야.,Pro_08732,Pro_08732_00002,E41,S08_D02
train-046393,train,청년,남성,대인관계,해당없음,상처,억울한,ANGRY,나는 인간관계를 잘 유지해. 하지만 실제 나를 지지하는 사람은 적은 것 같아서 슬퍼. 어떻게 해야 사람들이 나에 대해 진실 되게 지지해줄지 고민이야. 진실한 모습으로 한 명 한 명에게 다가가 신뢰를 얻는 것이 좋을 것 같아.,Pro_03578,Pro_03578_00011,E47,S04_D02
train-032378,train,중년,여성,"대인관계(부부, 자녀)",해당없음,슬픔,환멸을 느끼는,ANGRY,이기적인 남편때문에 너무 속상해. 연애 시절부터 치면 함께한 지 이십년이 다 되어가는데 처음엔 안 그랬어. 오년쯤전부터 아주 심해졌어. 이혼하고 싶어.,Pro_08600,Pro_08600_00027,E29,S07_D02
train-045458,train,노년,여성,대인관계,만성질환 무,분노,악의적인,ANGRY,젊을 때는 잘나가는 여성 정치인으로 주목받았었는데 이제 난 아무 쓸모도 없는 인간이야. 죽고 싶은 마음만 들어. 정신도 예전 같지 않고 유명세를 잃으니 찾아와주는 사람도 없어. 지금 가족들이 가장 생각나. 오늘 우리 아이들과 손주들에게 찾아가야겠다.,Pro_11346,Pro_11346_00028,E15,S04_D02
train-027977,train,중년,여성,"재정,은퇴,노후준비",해당없음,슬픔,환멸을 느끼는,ANGRY,노후준비가 필요한지 모르는 사람이 있나. 지금 당장 쓸 돈이 없는데. 뉴스에서 노후 준비를 하라고 하는 걸 볼 때면 현실과는 다른 내용에 화가 나서 그래. 조금 더 나와 같은 사람에게 맞춘 내용으로 내게 도움이 되는 걸 볼 수 있으면 좋겠어.,Pro_08720,Pro_08720_00011,E29,S08_D02
train-047619,train,청소년,여성,가족관계,해당없음,분노,노여워하는,ANGRY,시험성적 때문에 친구와 다툼이 생겼어. 내가 친구에게 심하게 말한 탓이야. 친구가 공부도 도와줬는데 내가 친구를 실망하게 했어. 난 바보인가 봐. 친구에게 미안하다고 사과하고 이야기를 들어보고 싶어.,Pro_01629,Pro_01629_00021,E18,S01_D02
