sample_id,service_label_original,emotion_major,emotion_minor,tired_heuristic_reason,text
train-000233,SAD,상처,희생된,v2-primary-physical-fatigue,야근을 많이 하는데 돌아오는 게 없네. 남는 건 희생뿐. 회사를 위해 해준 게 얼마나 많은데 이럴 수 있지?
train-000241,ANXIOUS,당황,당황,v2-primary-physical-fatigue,어제 회사 동료들과 술 마셨는데 내가 취해서 주사 부린 게 소문났나 봐. 아니. 기억은 잘 안 나지만 화장실에서 잠들고 그런 것 같아.
train-000280,ANXIOUS,불안,당혹스러운,v2-primary-physical-fatigue,오늘 정기 발령이 났거든. 그런데 우리 집에서 두 시간 넘게 떨어진 곳으로 발령이 났어. 이거 어떻게 출퇴근하라는 것인지 모르겠다. 너무 당황해서 말도 안 나오더라. 아니 내 거주지도 아는데 왜 이렇게 발령을 냈는지 모르겠어. 일단 다시 한번 찾아가 얘기해보고 안되면 노조에 말을 하려고.
train-000540,ANGRY,분노,성가신,v2-primary-physical-fatigue,공부해야 하는데 너무 졸려서 큰일이야. 왜 놀 때는 안 졸리다가 공부만 하려 하면 졸릴까? 잠 깰 때까지 일어서서 공부해야겠어.
train-000560,ANXIOUS,당황,혐오스러운,v2-primary-physical-fatigue,부장이 나에게 야근을 강요해. 요즘 같은 세상에 야근을 강요하는 게 말이 돼? 안 그래도 집에서 할 일도 많은데. 끝까지 안 된다고 말해야겠어.
train-001106,CALM,기쁨,편안한,v2-primary-physical-fatigue,우리 회사는 할당된 업무만 제 시간에 마치면 출퇴근이 자유로워서 편해. 할 일만 마치면 조기 퇴근을 해도 문제없어서 좋아. 오늘은 일찍 퇴근할 계획이라서 일을 열심히 하고 있어.
train-001386,SAD,슬픔,비통한,v2-primary-physical-fatigue,부모님 대신 할머니가 나를 키워 주셨어. 그런데 얼마 전 할머니가 위암으로 돌아가셨어. 나는 부모님보다 할머니 품이 더 좋을 때가 많았거든. 그런데 이제 할머니를 볼 수 없어. 주말에는 할머니가 잠들어 계신 산소에 다녀와야겠어.
train-001448,SAD,당황,열등감,v2-primary-physical-fatigue,옆집 할머니는 건강해서 일자리도 잘 구하는데 나는 몸이 아프니 일자리를 구할 수가 없어. 건강하면 무슨 일이든 할 것 같은데. 옆집 할머니를 보면 부러워. 옆집 할머니만 부러워하며 살기보다는 앞으로 꾸준히 운동해야겠어.
train-001898,CALM,기쁨,편안한,v2-primary-physical-fatigue,드디어 길었던 수험생 시절이 끝나고 공무원 최종 합격했어. 마음이 한결 편해. 학원비며 생활비며 그동안 부모님께서 경제적으로 지원해주신 것들을 이제야 갚을 수 있을 것 같아. 당분간은 마음 편하게 잠들 수 있을 거야.
train-002162,HAPPY,기쁨,감사하는,v2-primary-physical-fatigue,저번에 야근한 거 수당 제대로 챙겨주었네. 갑자기 목돈 생긴 거라서 어머니 드리려고. 지금껏 제대로 보답을 드리지 못해서 효도하고 싶어.
