sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,relabel_reason
train-018098,train,청년,여성,"연애,결혼,출산",해당없음,불안,스트레스 받는,ANXIOUS,출산휴가 중인데 제대로 쉬지도 못하고 집에서 업무처리를 하는 경우가 많아. 가뜩이나 힘든데. 일은 어찌 이리 많은 건지 스트레스가 심해. 경력단절이 될까 봐 내가 선택한 것이니 내가 감당해야겠지.,Pro_05243,Pro_05243_00047,E32,S05_D02,
train-007254,train,청년,여성,"연애,결혼,출산",해당없음,불안,두려운,ANXIOUS,결혼을 일찍 한 친구들 보면 아이 키우는 게 힘들어 보여. 자기 시간도 없이 오로지 아이에게 매달리는 모습을 보면 나는 자신이 없어져.,Pro_05242,Pro_05242_00003,E31,S05_D02,
train-036712,train,청소년,여성,학업 및 진로,해당없음,불안,조심스러운,ANXIOUS,내가 공부를 잘하는편이 아닌데 괜찮은대학에 가고싶어. 응. 그래서 조심스럽게 다가가는 중인데 내가 정말 갈 수 있을까? 고마워. 노력해서 반드시 그 대학에 갈게.,Pro_01769,Pro_01769_00006,E38,S02_D02,
train-040271,train,노년,여성,재정,만성질환 무,분노,방어적인,ANGRY,친구가 와서 얘기 많이 하다가 갔어. 오늘에야 직장을 그만둔 이유를 말하더군. 입사하고 처음 맡은 일을 거의 망친 모양이야. 주위의 시선도 따갑고 스스로 실망하는 마음에 그 힘들게 들어간 회사에 사직서를 냈다고 해.,Pro_12425,Pro_12425_00030,E14,S13_D02,
train-044143,train,노년,남성,"건강,죽음",만성질환 무,슬픔,비통한,SAD,아내가 몸이 안 좋아서 내가 돌보고 있어. 그동안 아픈지도 몰랐던 게 너무 한심하고 슬퍼. 오십 년 세월을 같이 살았는데 아픈 것도 몰랐어. 아내가 아프니까 불행한 기분이야. 아픈 아내와 대화를 나누어야겠어. 우리에겐 서로밖에 안 남았으니.,Pro_10633,Pro_10633_00014,E22,S11_D02,
train-005103,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,안도,CALM,임신 팔 주래. 불임일까 걱정 많이 했는데 이제 마음이 놓여. 응. 임신이 되어 기쁘기도 하지만 한편으로는 건강한 아기가 태어날지 걱정이 되기도 해.,Pro_05278,Pro_05278_00032,E67,S05_D02,
train-001226,train,청년,남성,대인관계,해당없음,당황,죄책감의,SAD,직장 동기가 휴게실에서 우리가 본인 얘기하는 걸 들은 것 같아서 미안하네. 그 동기가 실수했던 걸 얘기하는 중이었는데 아마 불쾌했을 거야. 커피라도 한잔하면서 미안하다고 해야겠어.,Pro_03586,Pro_03586_00044,E55,S04_D02,
train-023602,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,악의적인,ANGRY,남편이 나를 두고 바람을 폈어. 그이가 병이나 걸려버렸으면 좋겠어. 남편이 바람을 폈다는 것을 생각하면 하루 종일 아무것도 손에 잡히지 않아. 변호사와 만나서 이혼 상담을 받아야겠어.,Pro_08586,Pro_08586_00010,E15,S07_D02,
train-024946,train,노년,남성,재정,만성질환 무,기쁨,감사하는,HAPPY,내가 집을 내놓았는데 내가 내놓은 가격보다 훨씬 좋은 가격에 팔려서 너무 기뻐. 더 비싼 가격에 팔아서 더 든든해. 이 기쁨을 나누고 싶은데 어떻게 해야 할까? 가족들과 함께 이 기쁨을 나눠야겠어. 감사한 마음도 전하고.,Pro_10912,Pro_10912_00005,E61,S13_D02,
train-010668,train,청년,여성,"진로,취업,직장",해당없음,분노,구역질 나는,ANGRY,요즘 취업이 너무 힘들어. 거의 백 군데 이력서를 넣은 것 같은데 이젠 진절머리가 나. 기다리다 미칠 것 같지만 경제 상황도 안 좋으니까 기다리고 있어.,Pro_05348,Pro_05348_00024,E17,S06_D02,
train-009406,train,중년,남성,"대인관계(부부, 자녀)",해당없음,기쁨,기쁨,HAPPY,아이 성적이 많이 올랐어! 이제 철들고 본격적으로 공부를 시작하나 봐. 오늘 저녁에 맛있는 소고기 사줘야겠어.,Pro_07071,Pro_07071_00007,E60,S07_D02,
train-018630,train,중년,남성,건강,해당없음,기쁨,기쁨,HAPPY,오랜 친구가 지난해 위암으로 항암치료를 시작했다는 연락을 받고 너무 놀랐어. 걱정을 많이 했었는데 다행히도 힘든 항암치료 잘 이겨내고 무사히 퇴원했다고 얼마 전에 연락이 왔지 뭐야. 먹고살기 바빠 얼굴도 자주 못 봤는데 이젠 조금 더 자주 얼굴 보며 안부도 묻고 살아야겠어.,Pro_07311,Pro_07311_00014,E60,S09_D02,
train-015022,train,중년,여성,"재정,은퇴,노후준비",해당없음,기쁨,안도,CALM,버는 동안 열심히 저축을 해 놓아서 노후 걱정이 없어. 너무 다행이야. 버는 동안 사고 싶은 거 참으면서 저축하길 잘했어. 앞으로도 저축은 조금씩 하면서 사고 싶은 거 살 거야.,Pro_08758,Pro_08758_00010,E67,S08_D02,
train-026792,train,청년,여성,대인관계,해당없음,당황,혼란스러운,ANXIOUS,회사에 취직을 했는데 대학 동기가 과장이었어. 너무 당황스러워. 동갑이지만 상사로 모셔야 하는데 어떻게 해야 할지 모르겠어. 나보다 사회 생활을 많이 한 남자 친구한테 물어봐야겠어.,Pro_05150,Pro_05150_00076,E59,S04_D02,
train-004294,train,청년,남성,"연애,결혼,출산",해당없음,기쁨,편안한,CALM,결혼하길 잘한 것 같아. 힘들게 일하고 오면 아내와 아이가 나를 반겨주니까 너무 좋아. 덕분에 결혼 전보다 마음이 편안해졌어.,Pro_03714,Pro_03714_00006,E63,S05_D02,
train-007090,train,중년,여성,"재정,은퇴,노후준비",해당없음,기쁨,안도,CALM,노후준비는 다른 사람들과 비교하면 한도 끝도 없지만 그래도 게으르게 살진 않은 거 같아 다행이야. 집도 있고 꾸준한 적금도 있고 은퇴 후를 대비해 취득한 자격증도 있고. 응. 현재도 중요하지만 노후에 여유롭고 싶었어.,Pro_08758,Pro_08758_00009,E67,S08_D02,
train-009266,train,청년,여성,대인관계,해당없음,당황,부끄러운,ANXIOUS,남자친구랑 길을 가다가 넘어졌어. 얼음이 있는 줄 모르고 걷다가 넘어졌지 뭐야. 어찌나 부끄럽던지 얼굴이 화끈거리더라. 남자친구는 귀엽다고 하는데 난 어찌나 부끄럽던지 고개를 못 들겠더라고.,Pro_05147,Pro_05147_00007,E56,S04_D02,
train-036557,train,청소년,여성,학교폭력/따돌림,해당없음,슬픔,염세적인,SAD,나는 더 이상 견디지 못할 거야. 늘 친구들에게 맞고 빼앗기고. 내가 무얼 하든 변하지 않을 거야. 도와줄 이도 없을 거야.,Pro_01877,Pro_01877_00002,E26,S03_D02,
