sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,service_label_original,tired_heuristic_applied,tired_heuristic_reason
train-010074,train,청년,여성,"진로,취업,직장",해당없음,기쁨,신뢰하는,CALM,이직한 회사는 정말 좋아. 회사 가는 길이 기대돼. 일하다가 모르는 것이 있으면 선배가 친절하게 알려 줘. 이곳에서는 배워 나갈 수 있다는 생각이 들어.,Pro_05393,Pro_05393_00030,E62,S06_D02,CALM,False,missing-fatigue-keyword
train-050781,train,청소년,남성,가족관계,해당없음,슬픔,환멸을 느끼는,ANGRY,누나가 내 귀가 잘 안 들리는 장애를 가지고 나를 조롱해서 슬퍼. 어떻게 가족이 나한테 이럴 수 있는지 너무 슬프고 내 처지가 불쌍하다. 친구들이랑 만나서 스트레스를 풀어야겠어.,Pro_00080,Pro_00080_00009,E29,S01_D02,ANGRY,False,missing-fatigue-keyword
train-036881,train,청소년,여성,학업 및 진로,해당없음,기쁨,흥분,HAPPY,내가 간호사로 근무하고 있을 걸 생각하면 흥분되고 마음이 벅차. 간호사는 나랑 잘 맞는 일 같거든. 오늘 하루도 꿈을 위해 알차게 지낼거야.,Pro_01796,Pro_01796_00008,E65,S02_D02,HAPPY,False,missing-fatigue-keyword
train-021281,train,청소년,남성,가족관계,해당없음,상처,억울한,ANGRY,높은 점수를 받아와 부모님께 자랑했는데 커닝한 것 아니냐며 나를 의심하셔서 너무 억울해. 기껏 밤새며 공부해서 높은 점수를 받았더니 이게 무슨 날벼락 같은 상황인지 모르겠어. 우울하기만 해. 친구들이랑 축구 한 판하고 피자 먹으면 나아질 것 같아. 친구들한테 연락해봐야지.,Pro_00098,Pro_00098_00009,E47,S01_D02,ANGRY,False,missing-fatigue-keyword
train-022268,train,청년,남성,"진로,취업,직장",해당없음,기쁨,만족스러운,HAPPY,회사를 옮긴 뒤 직업 만족도가 더욱 높아져서 기분이 아주 좋아. 그 전에는 내가 이 일을 계속해야 하나 의심이 들었는데 이제는 아주 만족해. 이 회사가 나에게 만족감을 주니까 나도 회사를 위해서 열심히 해야지.,Pro_03835,Pro_03835_00024,E64,S06_D02,HAPPY,False,missing-fatigue-keyword
train-043669,train,청년,여성,대인관계,해당없음,불안,스트레스 받는,ANXIOUS,소득은 많지 않은데 사귀고 있는 남자친구는 결혼 준비를 하길 원해. 흥미가 없는데 말이야. 앞으로 가정을 꾸려나갈 금전적 준비가 전혀 안 되어 있어. 현재를 살아가는 것도 힘들어. 남자친구와 잘 상의를 하여 미래의 일보다는 현재 생활에 집중하고 싶어.,Pro_05123,Pro_05123_00043,E32,S04_D02,ANXIOUS,False,missing-fatigue-keyword
train-022723,train,중년,남성,"대인관계(부부, 자녀)",해당없음,불안,스트레스 받는,TIRED,주말이면 푹 자고 싶은데 아내가 너무 일찍 깨워서 피곤하고 스트레스야. 나는 집에서 쉬고 싶은데 아내는 쉬는 날에 꼭 밖에서 시간을 보내야 해. 오후 늦게 일어나서 캠핑 가자고 해야겠어. 거기서 다음 날 아침까지 푹 자는 거야.,Pro_07043,Pro_07043_00018,E32,S07_D02,ANXIOUS,True,fatigue+physical-context
train-050916,train,청년,남성,"진로,취업,직장",해당없음,슬픔,마비된,TIRED,앞으로 내가 뭘 해야 할지 도저히 모르겠어. 몸이 불편해서 할 수 있는 것도 한정적이고. 답이 보이질 않으니까 막막하고 슬퍼. 심지어 이젠 지치기도 해. 일단 뭐든지 도전해볼까 해. 그러다보면 내가 할 수 있는 것들을 찾을 수 있을 것 같아.,Pro_03796,Pro_03796_00022,E25,S06_D02,SAD,True,fatigue+physical-context
train-031933,train,노년,남성,"건강,죽음",만성질환 유,당황,죄책감의,SAD,내 가족력을 미리 자녀들에게 알리고 각자 관리하게 했야 했는데 그 생각을 못 해 미안한 마음이야. 내 병이 유전될까 두렵기도 해. 이제라도 자녀들에게 가족력을 이야기 해야겠어.,Pro_10606,Pro_10606_00002,E55,S11_D01,SAD,False,missing-fatigue-keyword
train-019248,train,청년,여성,"진로,취업,직장",해당없음,기쁨,신뢰하는,CALM,우리 팀장님은 정말 최고야. 어려운 일도 금방 해결이 돼. 부서이동이 있다는데 팀장님과 안 떨어졌으면 좋겠어. 팀장님께 잘 보여서 꼭 같은 팀에 있게 해달라고 열심히 일하는 모습을 보여줘야지.,Pro_05393,Pro_05393_00024,E62,S06_D02,CALM,False,missing-fatigue-keyword
