sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,tired_seed_candidate,tired_seed_candidate_reason,tired_seed_manual_keep,tired_seed_manual_note,service_label_original,tired_seed_version
train-000022,train,청년,여성,"진로,취업,직장",해당없음,슬픔,마비된,TIRED,어제도 야근 오늘도 야근이야. 너무 힘들어. 솔직히 말하자면 굳이 야근할 일이 아니야. 근데 상사가 자꾸 야근을 시키니 미치겠어.,Pro_05356,Pro_05356_00012,E25,S06_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,SAD,physical_fatigue_seed_v1
train-000041,train,청년,여성,"진로,취업,직장",해당없음,슬픔,비통한,TIRED,직장 생활 육 개월 차인데 아직도 적응하기가 힘들어. 사회생활이 이렇게 괴롭고 슬픈 일이 많을 줄 몰랐어. 입사하고 나서 정시에 퇴근한 적이 거의 없고 항상 야근만 했어. 근데 회사에서는 야근 수당도 주지 않아.,Pro_05353,Pro_05353_00023,E22,S06_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,SAD,physical_fatigue_seed_v1
train-000084,train,청년,여성,"진로,취업,직장",해당없음,당황,외로운,TIRED,요새 회사 끝나고 오면 피곤해서 친구도 보기 귀찮고 휴대전화만 하게 되는 거 같아. 신제품 출시가 얼마 안 남아서 계속 야근했어. 답답한 마음 말할 데도 없고 어쩐지 외롭네.,Pro_05384,Pro_05384_00012,E53,S06_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,SAD,physical_fatigue_seed_v1
train-000540,train,청소년,남성,학업 및 진로,해당없음,분노,성가신,TIRED,공부해야 하는데 너무 졸려서 큰일이야. 왜 놀 때는 안 졸리다가 공부만 하려 하면 졸릴까? 잠 깰 때까지 일어서서 공부해야겠어.,Pro_00190,Pro_00190_00005,E19,S02_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANGRY,physical_fatigue_seed_v1
train-000588,train,중년,여성,건강,해당없음,분노,안달하는,TIRED,자식들과 오래 함께 살고 싶어서 열심히 운동하고 있지만 쉽지 않아. 체력 때문에 쉽게 지치게 되네. 삼십 분씩 조깅하고 스트레칭을 하고 있어. 더 달리고 싶은데 금방 지쳐버리네. 좋은 음식을 잘 챙겨 먹고 운동을 더 열심히 해야겠어. 평지를 달리는 것뿐 아니라 등산 같은 운동도 병행해 볼까 해.,Pro_08827,Pro_08827_00030,E16,S09_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1
train-001019,train,중년,여성,건강,해당없음,불안,걱정스러운,TIRED,요즘 잠에 잘 못 드는 날이 많아 걱정이야. 불면증에 대한 불안감 때문에 온몸이 피곤하고 땀에 흠뻑 젖기도 해. 낮에 야외 활동을 하고 자기 전에 반신욕을 해볼까?,Pro_08848,Pro_08848_00034,E37,S09_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1
train-002238,train,중년,여성,건강,해당없음,불안,회의적인,TIRED,건강하게 나이 드는 게 생각보다 쉬운 일이 아니네. 특별히 아픈 곳이 없더라도 금방 피곤하고 기력이 없어서 우울해져. 규칙적인 생활과 운동이 중요하지.,Pro_08847,Pro_08847_00005,E36,S09_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1
train-002239,train,중년,여성,건강,해당없음,불안,회의적인,TIRED,나이가 들어서 그런지 만사가 귀찮고 기력이 없어. 인터넷 건강 정보를 챙겨 보려고 해도 서로 다른 말들이 너무 많아서 모르겠어. 직접 병원에 가는 게 가장 좋은 것 같아.,Pro_08847,Pro_08847_00012,E36,S09_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1
train-002317,train,청년,여성,"진로,취업,직장",해당없음,분노,툴툴대는,TIRED,직장생활 오 년째인데 아직도 신입사원 때랑 월급이 비슷해. 일한 만큼 보상도 없고 회사도 집이랑 멀어서 출퇴근도 힘들어. 큰 성과를 내면 연봉 협상에서 인상을 요구할 수 있어. 올해에는 분발해서 내년 연봉을 올려 받을 거야.,Pro_05342,Pro_05342_00047,E11,S06_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANGRY,physical_fatigue_seed_v1
train-002402,train,중년,남성,건강,해당없음,불안,스트레스 받는,TIRED,최근 들어 몸이 아주 힘들고 체력이 달리네. 퇴근하고 오면 몸도 무겁고 아침에 일어나기도 힘들어. 조금씩 산책이라도 해야겠어.,Pro_07283,Pro_07283_00021,E32,S09_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1
