"sample_id","candidate_bucket","service_label","approved_label","emotion_major","emotion_minor","situation_keyword","review_note","text"
"valid-004890","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","부모님이 뒷받침해주신 덕분에 내가 가고 싶은 대학에 갈 수 있을 것 같아. 그래서 너무 감사해."
"valid-002457","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","오빠가 독립해서 내가 이젠 오빠가 쓰던 넓은 방을 쓰기로 했어. 방이 넓어져서 기뻐. 응. 내 방은 책상만으로도 꽉 차서 불만이었어. 내 물건들을 두는 곳으로 쓸 거야."
"valid-003925","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","은퇴 후 재취업을 하려고 면접을 보러 갔는데 내 나이처럼 안 보인다고 말하더라. 어려 보인다고 하니 기분이 정말 좋더라. 내가 매일 달리기를 하고 있는데 운동을 계속해야겠어."
"valid-002983","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","노년을 보내려고 사 놓은 땅에 고속도로가 뚫리게 되어 큰돈을 벌게 되어 너무 신나. 은퇴 후 귀농하려고 별생각 없이 사 놓은 땅이 효자 노릇을 하게 됐어. 너무 신나. 번 돈으로 일부는 자식들에게 물려주고 귀농할 다른 땅도 보러 다녀야겠어."
"valid-006160","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","내가 사둔 땅값이 올라 기뻐 이제 나도 남들에게 많이 베풀고 살아야겠다는 생각이 들어 많이 가진 사람이 나누기가 쉽지 않은데 내 주위에는 그런 사람이 많아서 좋았어! 이제는 나도 어려운 사람에게 나누고 봉사하면서 살아야겠어."
"valid-004443","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","요즘 새로운 사람을 만나는 게 너무 신나. 이번에 헬스장에서 새로운 친구를 만났는데 성격도 잘 맞고 좋더라고."
"valid-005620","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","아들이 선물을 사 왔어 너무 기뻐. 오늘은 저녁 식사로 맛있는 음식을 해줘야겠어."
"valid-001125","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","학교폭력 가해자 애들이 사라져서 이제 학교에 나 괴롭히는 사람은 없을 거야. 나를 괴롭히던 가해자들이 학교에서 퇴학당했어. 선생님께 말씀을 드렸는데 내 말을 믿어주시고 나를 지지해 주셨어."
"valid-004772","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","다음 주부터 매주 친구들하고 모임을 갖기로 해서 너무 기뻐. 매주 만나서 좋아하는 시 한 편을 낭송하는 시 낭송 모임이야."
"valid-004068","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","학교폭력으로 힘든 나를 친구가 위로해주었어. 친구가 많은 이야기를 해주지는 않았어도 옆에 있다는 것이 큰 힘이 돼. 친구에게 고마운 마음으로 친구에게 감사 편지를 주는 건 어떨까?"
"valid-005673","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","건강 검진받았는데 생각보다 건강해서 기뻐. 건강관리를 꾸준히 해야겠어."
"valid-003847","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","딸의 남자친구를 만났는데 너무 괜찮았어. 아주 다정하고 늠름하고 딸에게 잘해 주는 모습이 마음에 들었어. 예쁜 만남을 기대하지만 부모가 껴서 좋을 게 없으니 지켜봐야지."
"valid-006593","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","동료들이 나 몰래 생일파티를 준비해 줬어. 정말 기뻤어. 생각지도 못한 이벤트라 감동했어."
"valid-002456","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","집안일을 하고 나서 엄마가 용돈을 줬어. 너무 좋아. 친구 엄마들은 딸이 집안일을 하는 걸 당연하게 생각한대. 우리 엄마는 안 그래서 고마워. 받은 용돈으로 운동화를 살 생각에 신나."
"valid-004510","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","이번에 진급해서 연봉이 꽤 올랐어. 그동안의 스트레스가 한 번에 보상되는 기분이야."
"valid-002553","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","내가 주먹을 휘두르니까 괴롭히던 애들이 도망갔어. 이제 자신감이 생겼어. 이제 애들이 다시 날 괴롭혀도 이길 수 있을 것 같아. 이제 집에 가야지. 앞으로는 친구가 괴롭히면 당당하게 나서겠어."
