sample_id,candidate_bucket,service_label,approved_label,emotion_major,emotion_minor,situation_keyword,review_note,text
train-029911,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,"건강,죽음",,노인이 되니 만성질환이 없어도 건강을 걱정 하는 날이 많아. 건강한데도 건강을 걱정하는 내가 구역질이 나.
train-029973,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,"재정,은퇴,노후준비",,주식으로 재산을 탕진한 상태야 정말 난 걱정이다. 아직 몸은 건강하니까 닥치는대로 일해서 살아가야겠지.
train-041496,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,"건강,죽음",,요즘 자꾸 살이 쪄서 고민이야. 움직임도 둔해지고 남편도 왜 그렇게 게으르냐고 핀잔주고 사람들이 비난할까봐 걱정이 돼. 건강을 위해서라도 살을 빼야 하는데 의지가 약한 건지 잘 안되서 내 자신이 한심하네.
train-041750,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,대인관계,,건강 하나는 자신했는데 요즘 심해진 건망증 때문에 힘들어. 애들이 엄마가 한 말을 또 하고 반복하니까 치매가 있다고 하는데 나는 인정할 수 없거든 치매를 제일 두려워해서 기억력 훈련을 얼마나 꾸준히 해 왔는데 치매라니 말이 돼.
train-047179,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,"건강,죽음",,내 건강이 너무 안 좋아져서 걷기도 힘들어졌어. 우리 남편이 날 돌보느라 고생해 걱정이야. 우리 영감은 꿈이 많은 사람인데 나 때문에 묶여있는 것 같아 나 자신이 싫어져. 일주일에 한 번 요양원을 가겠다고 얘기해봐야겠어. 하루라도 남편에게 시간을 주고 싶어.
train-049214,ANGRY_TO_ANXIOUS,ANGRY,,분노,구역질 나는,건강,,이번에 건강검진을 했는데 왠지 예감이 좋지 않아. 걱정돼. 아직 애들이 한참 어려서 벌써 아프면 안 되는데 나는 너무 나약한 것 같아. 일단 건강부터 챙겨야겠어. 당장 헬스장을 끊고 운동을 시작해야겠어.
train-014643,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,"건강,죽음",,건강해서 오래 살고 있는 나를 귀찮은 사람으로 취급하는 게 싫어. 이렇게 건강해서 오래 사는 게 쉬운 일이 아닌데 마냥 귀찮은 사람으로 보일까 걱정이야. 아직 내가 할 수 있는 일에 최선을 다해서 귀찮은 사람으로 안 보이게 노력해야겠어.
train-031744,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,건강,,와이프의 건강이 안 좋아서 걱정스러워. 옆에서 잘 챙겨줘서 빨리 건강을 회복하도록 해야지.
train-032037,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,재정,,내가 평생을 일했는데 집 한 채 없는 게 말이 돼! 세상이 엉망이야! 나이 환갑이 넘도록 쉬지 않고 일했는데 돈이 없어. 아무리 열심히 해도 결과가 이거야. 정말 속상해. 앞으로 살날은 막막하고 그래도 건강하니 다행이지.
train-032207,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,건강,,그동안 나는 나 자신보다 내 남편의 건강을 더 챙겼어. 하지만 내 남편은 내 건강은 걱정해 주지 않아. 내 영양제 하나 사는데도 눈치를 주더라고.
train-038365,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,"건강,죽음",,노년에 건강마저 잃으면 많이 힘들것 같아서 걱정이네. 바쁘게 지내는 자녀들의 도움을 받아야 할 상황이면 그 또한 난감한 일이 아니겠는가? 건강을 잘 지키는 일은 자신은 물론이고 가족들에게도 피해를 주지 않는것 같네.
train-039645,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,"건강,죽음",,여러 복 중에 재물 복보다도 더 중요한 게 처복이라는 말이 있나 보데. 늙어가면서 몸뚱이도 쇠약해져서 건강도 나쁘고 게다가 정신까지 오락가락하면 그건 요즘 요양사 가지고는 힘들지. 주변이 아니라 바로 내 몸뚱아리가 자꾸 부실해지고 기억력도 깜빡깜빡하니 걱정되어서 하는 말이지.
train-042437,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,"진로,취업,직장",,코로나 때문에 더 암울해진 취업 시장을 보고 있자니 불안하고 스트레스만 받아. 이럴 줄 알았으면 작년에 합격한 곳에 그냥 들어갈 걸 그랬어. 다 내 잘못이야. 앞으로 취업 시장은 더 암울해질 것 같으니 주변 사람을 통해서라도 일을 해야겠어.
train-051623,ANGRY_TO_ANXIOUS,ANGRY,,분노,노여워하는,"건강,죽음",,건강관리를 너무 안 해서 건강이 좋지 않아 졌어. 주변 사람들에게 폐 끼칠까 봐 걱정돼. 아내한테 병시중 시킬까 봐 미안하고 걱정돼. 건강을 챙기지 않은 내가 실망스러워. 이제부터라도 건강관리에 힘써서 더 악화되지 않게 해야겠어.
train-002385,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,요즘은 병원을 너무 자주 가는 것 같아. 항상 전신이 조금씩 아프고 머리도 아파서 멍하게 있는 경우도 많아. 병원을 가야 하는데 시간이 없어서 생각만 하고 있어.
train-003265,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,내 나이가 되면 건강검진을 주기적으로 받아야 한다는데 결과가 안 좋을 것 같아서 자꾸 미루게 돼! 곧 해야 할 것 같은데 아픈 거 미리 알아서 좋나 싶기도 하고.
train-004217,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,얼마 전부터 자꾸 살이 빠지고 금방 지치네. 식구들이 병원에 가보라는데 가기가 싫어. 병원에 가서 검사받는 것도 귀찮고 검사 결과 기다리기도 힘들어.
train-004929,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,살찐 아줌마들은 모두 건강하지 못하다는 거 선입견 아니야? 그렇지 않은 사람도 분명 있을 텐데 말이야. 내가 뭐 얼마나 몸무게가 나간다고 나더러 살이 쪄서 잘 아픈 거라고 잔소리를 하는지 모르겠어. 나도 알고 있는 사실을 자꾸 반복적으로 이야기하니 더 듣기 싫기만 하더라고.
train-005403,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,예전에는 잘 먹지 않던 건강보조제를 언젠가부터는 잘 챙겨 먹는 내가 신기해. 어쩔 수 없이 나이를 먹긴 먹었나 봐.
train-007666,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,요즘 건강에 좋다는 음식 광고가 많은데 허위사실이 들어가 있는 것 같아서 먹기가 꺼려져. 이젠 모든 광고가 다 가짜 같아. 열 받아서 일부러 안 먹고 싶어지는 것 같아.
train-007694,ANGRY_TO_ANXIOUS,ANGRY,,분노,방어적인,건강,,오늘 면접을 너무 못 본 것 같아서 속상한데 화가 나. 군대에 있을 때 허리가 아파서 의병전역을 했는데 면접관이 몸 안 좋은데 일할 수 있냐고 물어보더라고. 화가 났지만 계속 운동도 하고 건강을 챙겨서 누구보다 더 건강하다고 둘러댔어. 그게 최선이라고 생각해.
