sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,tired_seed_candidate,tired_seed_candidate_reason,tired_seed_manual_keep,tired_seed_manual_note,service_label_original,tired_seed_version,tired_seed_applied
train-016041,train,노년,여성,대인관계,만성질환 무,기쁨,감사하는,HAPPY,박 씨 할머니 덕분에 내가 이 동네에 잘 적응할 수 있었어. 많이 고맙지 아무런 연고도 없는 나에게 이렇게 잘해주니. 고마운 마음을 좀 전해볼 생각이야. 요즘 추운데 뜨개질을 해서 목도리라도 만들어줘야겠어.,Pro_11392,Pro_11392_00005,E61,S04_D02,False,missing-include-pattern,False,,HAPPY,physical_fatigue_seed_v1,False
train-019839,train,청년,여성,"연애,결혼,출산",해당없음,분노,성가신,ANGRY,명절이 돌아올 때마다 너무 스트레스를 받아. 시부모님을 뵈러 가기 위해 운전하는 게 너무 피곤해. 남편에게 운전을 배우라고 이야기해봐야겠어.,Pro_05230,Pro_05230_00020,E19,S05_D02,False,missing-include-pattern,False,,ANGRY,physical_fatigue_seed_v1,False
train-020411,train,중년,여성,"직장, 업무 스트레스",해당없음,기쁨,만족스러운,HAPPY,이번 프로젝트 겨우 다 끝내서 이제 좀 여유롭네. 너무 긴급하게 줘서 못할 뻔했는데 진짜 다행인 것 같아. 일도 끝났으니까 오늘은 좀 쉬어야겠다.,Pro_08995,Pro_08995_00019,E64,S10_D02,False,missing-include-pattern,False,,HAPPY,physical_fatigue_seed_v1,False
train-042424,train,중년,여성,"대인관계(부부, 자녀)",해당없음,당황,한심한,ANGRY,맞벌이 때문에 아이들에게 신경 쓰지 못해서 미안해. 책임감 있는 엄마가 되고 싶어. 조금 늦었지만 아이들에게 자랑스러운 엄마가 되고 싶어. 아이들과의 꾸준한 대화를 나눌 거야.,Pro_08629,Pro_08629_00019,E58,S07_D02,False,missing-include-pattern,False,,ANGRY,physical_fatigue_seed_v1,False
train-009892,train,중년,남성,"직장, 업무 스트레스",해당없음,슬픔,비통한,TIRED,야근도 많고 출장으로 잦아서 몸도 지치고 마음도 힘들어. 힘들고 지친 몸을 주말에는 휴식으로 풀고 싶은데 부인과 애들은 자꾸 외출하자고 하고. 피곤해.,Pro_07393,Pro_07393_00011,E22,S10_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,SAD,physical_fatigue_seed_v1,True
train-006476,train,청년,남성,"진로,취업,직장",해당없음,기쁨,편안한,CALM,회사에서 문제가 있었는데 잘 풀려서 마음이 편안해졌어. 맞아. 오늘 기분이 너무 좋고 편안해.,Pro_03834,Pro_03834_00037,E63,S06_D02,False,missing-include-pattern,False,,CALM,physical_fatigue_seed_v1,False
train-010028,train,청년,여성,대인관계,해당없음,분노,안달하는,ANXIOUS,나만 친구들에게 연락하는 것 같아. 여름휴가 기간에 다들 연락이 없길래 먼저 했더니 약속이 있다고 하더라고. 친구들과 만나려고 했는데 못 만나게 돼서 아쉬웠어.,Pro_05107,Pro_05107_00010,E16,S04_D02,False,missing-include-pattern,False,,ANXIOUS,physical_fatigue_seed_v1,False
train-029773,train,노년,남성,"건강,죽음",만성질환 유,기쁨,안도,CALM,요새 안도감이 들어. 죽음이 가까워지니 마음이 놓이나 바.,Pro_10618,Pro_10618_00008,E67,S11_D01,False,missing-include-pattern,False,,CALM,physical_fatigue_seed_v1,False
train-043335,train,노년,남성,대인관계,만성질환 유,당황,죄책감의,TIRED,요즘 부쩍 기력이 없어. 아침에 눈 뜨기도 힘들어. 마누라 있을 땐 끼니도 잘 먹었는데 그땐 고마운 줄을 몰랐어. 내가 할 줄 아는 거라고 해 봐야 뭐 간편식 그런 거 데워먹는 거 정도야.,Pro_09766,Pro_09766_00022,E55,S04_D01,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,SAD,physical_fatigue_seed_v1,True
train-017691,train,청년,여성,"진로,취업,직장",해당없음,당황,남의 시선을 의식하는,TIRED,나만 오늘도 야근이야. 어두운 사무실에서 늦게까지 혼자 일하는 게 힘들어. 다들 어떻게 그러게 빨리 일을 마치고 퇴근하는지 모르겠어. 나만 남아서 눈치도 보여. 그러게 말이야. 항상 칭찬받는 동기에게 조언을 좀 구해야겠어.,Pro_05383,Pro_05383_00007,E52,S06_D02,True,strict-physical-fatigue-candidate,True,manual-keep-physical-fatigue-seed,ANXIOUS,physical_fatigue_seed_v1,True
