sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,manual_relabel_reason
train-028188,train,노년,남성,대인관계,만성질환 유,슬픔,환멸을 느끼는,ANGRY,간암에 걸렸었던 대학교 동창의 장례식에 동기들이 한 명도 보이지 않아 슬펐어. 다들 말도 없이 무슨 일 있는 건 아닌지 아니면 바쁜 건지 알 길이 없어 괴로워. 친한 다른 대학 동창에게 연락 한 번 해봐야겠어.,Pro_09740,Pro_09740_00001,E29,S04_D01,
train-033864,train,청년,남성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,취업 문이 너무 좁은 것 같다는 생각이 들어서 힘들어. 그래도 취업 문이 좁은 현실은 어쩔 수 없다는 건 알지만 이런 현실이 화나! 어쩔 수 없으니 취업할 때까지 열심히 해봐야지.,Pro_03785,Pro_03785_00033,E14,S06_D02,
train-040447,train,노년,여성,재정,만성질환 무,분노,성가신,ANGRY,나 자신이 아무 쓸모도 없어 가치가 없는 것 같은 생각이 들어. 몸이 안 따라 주니 아무것도 할 수 없으니 쓸모가 없는 것 같아. 남편에게도 짐만 되고 그래도 가족들에게 너무 많은 짐을 지워 준 것 같아.,Pro_12430,Pro_12430_00002,E19,S13_D02,
train-035511,train,청소년,남성,학교폭력/따돌림,해당없음,분노,툴툴대는,ANGRY,오늘 평상시보다 삼십분이나 늦게 끝났어. 응. 뭐 학교폭력인지 그런 거 알아본다고 사람을 불러 놓고 가지도 못하게 하잖아. 나랑 별로 관계 없는 일인데도 집에 늦게 보내줘서 불만이었어. 그런 건 그냥 관련 있는 사람들끼리 해결하면 되잖아?,Pro_00302,Pro_00302_00018,E11,S03_D02,
train-038018,train,노년,여성,대인관계,만성질환 무,상처,질투하는,ANGRY,친구 명희의 전화를 받았어. 요즘 아주 힘들고 외롭다네. 가까운 사람이 돈을 빌리고는 잠적한 모양이야. 처음에 친구가 그 사람에 대해 이야기 할 때부터 의심스러웠어.,Pro_11372,Pro_11372_00035,E41,S04_D02,
train-013742,train,청년,여성,"연애,결혼,출산",해당없음,분노,분노,ANGRY,전 애인이 나랑 헤어지자마자 다른 사람을 사귀었어. 너무 배신감 들어. 응. 마치 기다렸다는 듯이. 그 얘기 듣자마자 너무 화가 났어. 친구들 만나서 스트레스나 풀어야겠어.,Pro_05221,Pro_05221_00052,E10,S05_D02,
train-032303,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,분노,ANGRY,뉴스에서 아파트 분양 이야기가 많이 나오네! 은퇴할 때 즈음 되니 다들 퇴직금 얹어서 어떻게든 집을 사던데 집값이 하도 뛰어서 나는 택도 없네.,Pro_08701,Pro_08701_00007,E10,S08_D02,
train-006781,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,성가신,ANGRY,모처럼 약속 있어서 나갔는데 왜 자꾸 전화하는지 몰라. 자꾸 전화 오니까 친구들도 그만 들어가자고 하니까 집에 왔지.,Pro_08590,Pro_08590_00027,E19,S07_D02,
train-048402,train,중년,여성,"재정,은퇴,노후준비",해당없음,상처,억울한,ANGRY,먹고 살기가 너무 힘들어. 책임져야 할 가족 때문에 부담이 돼. 내가 왜 결혼을 해서 이렇게 힘들게 사는지 모르겠어. 우울증도 생겨서 너무 괴로워. 친한 친구에게 내 고민을 털어놔야겠어.,Pro_08738,Pro_08738_00011,E47,S08_D02,
train-024391,train,노년,남성,대인관계,만성질환 무,슬픔,환멸을 느끼는,ANGRY,요즘 사람들 때문에 환멸 나. 방송을 그렇게 믿나? 방송에서 건강에 좋다 하면 그게 뭐든 다 먹으려고 들더라. 보기 싫어. 친구와 술 한잔해야겠어. 시원하게 욕하고 나면 나아질지도 몰라.,Pro_09800,Pro_09800_00026,E29,S04_D02,
train-023807,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,짜증내는,ANGRY,이 팀장이 계속해서 일을 미루는 것에 화가 나. 일을 미루고 쌓아 놓으니 퇴근이 자꾸 늦어지잖아. 이 팀장에게 일을 미루지 말고 바로 처리해 달라고 이야기해야겠어.,Pro_08944,Pro_08944_00027,E13,S10_D02,
